,coin_name,symbol,description,total_coin_supply,algorithm,proof,start_date,total_coins_mined,exchanges
10,I0coin,I0C,"I0coin has a good combination of transaction speed and security. 90 second confirmations make for quick transactions, so you can get on with your life. Network mining power ranked in the top 5% means your coins are super secure, for your peace of mind. I ""zero"" coin. Zero premine. Zero inflation by 2018. Zero gimmicks. I0coin doesn&#39;t play games with your money.Coin added by @chopcoin Team",21000000,SHA256,PoW,15/08/2011,20987518.31249997,"Cryptopia, CCEX, Novaexchange"
11,PlusCoin,PLC,PlusCoin is an Ethereum-based cashback platform. PLS is an ERC20 token that serves as currency on DS PLUS mobile app.,82500000000,,,05/08/2017,82500000000.0,"Cryptopia, EtherDelta, Jubi"
12,Francs,FRN,"Francs is a cryptocurrency designed to create interest and adoption of crypto within the French community. FRN can be sent to anyone, instantly and with low fees. ",20000000,Scrypt,PoW,21/01/2016,5158058.4016472,"CCEX, Cryptopia, Yobit, Novaexchange"
13,DT Token,DRACO,DT Token is a NXT issued cryptocurrency through the Nxt monetary system. NXT Cryptocurrency ID: 13507468225104715822,88888888,,,12/04/2016,88888888.0,"Yobit, CCEX, BitTrex"
14,Nexus,NXS,Nexus is an innovative crypto currency - the coin runs off its own algorithm and has a well though through infrastructure that takes it beyond bitcoin and other 1 st generation crypto currencies - it has a checks and balances system for sending coins - where transactions can be retrieved if sent to a wrong address. The proof of stake rate is 2% up to a coin cap of 78 million.,78000000,SHA3,PoW/nPoS,19/06/2014,55244282.0,"Cryptopia, BitTrex"
15,MyriadCoin,XMY,"Myriad uses five proof of work algorithms for one coin which can be chosen by the user - Scrypt, SHA-256D. QuBit, Skein and Groestl. The coin has a block time of 2.5mins and block halving every 967680 blocks.",2000000000,Multiple,PoW,23/02/2014,1547576245.527805,"Cryptopia, Poloniex, Cexio, BitTrex, Cryptsy"
16,U.CASH,UCASH,"U.CASH is a peer-to-peer network of retail service providers (converters) combined with online and mobile applications (apps) targeted towards financial services and inclusion. It allows any person in the world to access bank-like services without the actual need to interact with a banks.The U.CASH (UCASH) token is a universal access key which gives users access to services on the Ucash network as well as advanced functionalities. This token will be distributed using an Initial Bounty Offering (IBO) model to enable more equitable access. Initially, UCASH will be created and distributed during the IBO period using the ERC20 standard on top of the Ethereum blockchain. Once the IBO is concluded, U.CASH will also create the equivalent amount of UCASH on various blockchains including Bitcoin and others. ",21000000000,,,09/09/2017,,
17,HOQU,HQX,HOQU is the decentralized marketing platform that allows merchants and affiliates to interact directly and ensures fair CPA deals based on a smart contract.,300854400,,,27/11/2017,,EtherDelta
18,ZCashDarkCoin,ZECD,ZCashDarkCoin is a Proof of Work/Proof of Stake Scrypt cryptocurrency. ZECD does not possess the same privacy features as Zcash (ZEC) or ZClassic (ZCL).,500000000,Scrypt,PoW,31/10/2016,,Yobit
19,BitcoinTX,BTX*,"BitcoinTX is an attempt at reformulating Bitcoin with Proof of Stake and using the X11 algorithm. Initially there was a PoW phase. After that, it was all PoS but there was a problem in the ""lucky stake"" code. The original developer(s) walked away. After that, they licked their wounds, started a little ""crowd-fund"" for a new developer to fix the code and managed to go forward with the project!",0,X11,PoS,05/05/2015,,CCEX
20,Let it Ride,LIR,"LIR is a gambling driven Proof of Stake cryptocurrency for the use designed to used in the Let it Ride Proveably fair gaming platform. LIR also plans to make blockchain gambling accessible through fiat gateways through The Waves Platform fiat gateway system, which is yet to be implemented.LIR pays dividends to the ICO investors and a 7% interest to Miners who stake Let it Ride coins. ",33500000,POS 3.0,PoS,14/07/2016,36529864.00539663,Yobit
21,MarijuanaCoin,MAR,MarijuanaCoin is a new PoW/PoS cryptocurrency for the cannabis industry. It&#39;s based on the X11 hashing algorithm.,,X11,PoW/PoS,20/01/2017,2292148.98,Cryptopia
22,PosEx,PEX,PosEx is a Pow/Pos hybrid cryptocurrency. It has a 30 second block time and uses the SHA256D ,,SHA256D,,28/01/2016,,"Yobit, CCEX"
23,EZMarket,EZM,EZMarket is a decentralized application built on the Ethereum blockchain. It has no centralized authority and it does not require a middleman to function or to manage user’s information.Smart contracts are the bridge on the blockchain to connect buyers and sellers. Transactions are completed in a trustless manner and automatically.,150000000,,,28/09/2017,,
24,PlatiniumCoin,PNC,"PlatiniumCoin is a pure Proof of Work cryptocurrency using the same algorithm as Bitcoin, SHA256. It has a 3 minute block size and a 21000000 total supply, 0% of which is premined.",21000000,SHA256,PoW,05/05/2015,,"Yobit, BitSquare"
25,MegaCoin,MEC,Megacoin (MEC) is a Scrypt based coin. Difficulty retargets every 22.5 mins The block target is 2.5 mins and the total number of coins mined is set to 42 million.,42000000,Scrypt,PoW,29/05/2013,36731362.49309988,"Cryptopia, Cexio, Novaexchange, BTER, Coinse, BTC38, BitTrex, Cryptsy"
26,ByteCoin,BTE,Bytecoin (BTE) is an open source P2P digital currency and a mimic of Bitcoin. An SHA-256 coin with a retarget every 2016 blocks - 21 millions total coins and 6 block confimations. There are 50 coins per block.,21000000 ,SHA256,PoW,01/03/2013,0.0,"EtherDelta, Cryptsy"
27,RiptideCoin,RIPT,Riptide project aims to ease the implementation of electronic payments for the Dispensary and Delivery services of the Marijuana industry. In order to be able to do that Riptide team will leverage the Ethereum blockchain to provide a platform that will support the transactions.Riptide token (RIPT) is an ERC-20 token that will be used as a medium of exchange on the platform. ,17999429.802,,,27/09/2017,17999429.802,EtherDelta
28,EqualCoin,EQUAL,EqualCoin is a Proof of Work/Proof of Stake cryptocurrency using the X13 algorithm. It was designed to be a fair launch coin with equal airdrop opportunities for all of the community.,1000000000,X13,PoW/PoS,18/10/2016,,Yobit
29,NameCoin,NMC,"Namecoin s a cryptocurrency which also acts as an alternative, decentralized DNS, which would avoid domain name censorship by making a new top level domain outside of ICANN control. The coin is designed to halve every four years with the same cap limit as Bitcoin of 21,000,000. With the domain registry service a small number of NMC will be destroyed so after mining has finished there will still be a deflationary ellement in place. Namecoin was the first coin to switch to merged mining.",21000000,SHA256,PoW,18/04/2011,14736400.0,"BXinth, Cryptopia, Yobit, Cryptsy, BTCE, BitSquare, Kraken, BTER, TuxExchange, LiveCoin, Bleutrade, Poloniex, Cexio"
30,MultiWallet Coin,MWC,MultiWallet Coin is an X11 alternative crypto currency with a block time of 120 seconds and a proof of stake rate at 5%.,0,X11,PoW/PoS,05/08/2014,,BitTrex
31,Halloween Coin,HALLO,HALLO is a Halloween themed cryptocurrency. It is a Proof of Work/Proof of Stake hybrid using the x11 algorithm.,1500000000,X11,PoW/PoS,30/09/2016,264669613.2534022,"Novaexchange, Yobit"
32,Rupee,RUP,"Rupee is a blockchain based cryptocurrency that uses peer-to-peer network to enable digital exchanges instantly. Rupee uses an altered version of the Scrypt Proof of Work mining algorithm, initially created for an online backup service named Tarsnap. The Scrypt algorithm is a ‘password-based key derivation function’, meaning that it infers a key from a password. Rupee chose to use Scrypt mining because it’s more suitable for a general purpose processor, as opposed to ASICs mining hardware.",84000000,Scrypt,PoW,04/05/2017,22916450.0,"Novaexchange, Yobit, Cryptopia"
33,Open Trading Network,OTN,"Open Trading Network (OTN) is a global cross-chain trading ecosystem which is aimed to give every market participant a range of products to obtain maximum blockchain guarantees and, at the same time, offers full range of comfort instruments at their disposal. OTN is made to integrate all market makers and asset holders through efficient tokenization. OTN is created to provide easy-to-use products for mass-market and interfaces for regulators. OTN is built to be open and unite everyone in a single trading space.",100000000,,,02/10/2017,82630002.42819583,"Cryptopia, LiveCoin, Yobit, EtherDelta, HitBTC"
34,Minerals Coin,MIN,"Minerals (MIN) is a PoW/PoS X11 based crypto currency. The block time is thirty seconds and the PoW, proof of work, was designed to last for seven days. The coins main premiss was to distribute the currency evenly with 30 million coins in the PoW phase. The difficulty retargets every block and there was no premine.",1000000,X11,PoW/PoS,05/06/2014,0.0,"Cryptsy, Cryptopia, BitTrex, Coinse"
35,MCAP,MCAP,MCAP is a tokenized investment fund by the BitcoinGroth Fund project. It focuses on mining and ICO investments. The MCAP coin is an Ethereum-based token and represents a share in the holdings of the MCAP fund.,100000000,,,25/05/2017,100000000.0,"Novaexchange, HitBTC, CCEX, EtherDelta"
36,Janus,JNS,"The Janus token is a crypto asset built and issued on the NXT blockchain and later on migrated to the Ardor blockchain. A total amount of 100,000,000 tokens will be issued, of which 97% will be destributed to ICO investors. The Janus ICO will be held with the collaboration of the NXT team, which will perform as an escrow agent. The Janus project will then donate 5% of the funds received to the development of the NXT and Ardor projects.The Janus token was created as a way to fund the Janus project and to allow token holders to share in the profits created by the Janus company through an automated and transparent dividends issuance system on the NXT platform. The company will also release an annual report in which its financial standing will be detailed along with key milestones achieved.Janus will be a software and services company that uses common technology to implement distinctly branded projects targeting a number of carfully selected markets. The Janus project has outlined content management, online and self publishing, marketplaces for targeted audiences and digital assets, online education technology, social fintech platforms, crypto financial services and social applications as some of the areas in which the company will develop solutions.",100000000,,,31/12/2016,,CCEX
37,Cerium,XCE,"Like the rare earth element it is named after, the Cerium crypto currency is small in supply and aims to be a something the world depends on. Cerium hopes to introduce an efficient payment method which will eventually be adopted by the masses.",2307925,SHA256,PoW/PoS,06/07/2015,,"Yobit, CCEX"
38,Bitcomo,BM*,Bitcomo is a decentralized CPA (cost-per-action) marketing network. BM is the token serving as currency for advertisers and publishers on Bitcomo&#39;s network. It is based in Ethereum and Waves smart contracts.,170000000,,,10/10/2017,,
39,GameX,GAMEX,"GameX is a Waves-based token that will be used on GameX&#39;s three major projects – GameX Marketplace, GameX In-die Club and GameX GPU Mining Hub. Users can use the tokens to buy, sell and trade in-game items, key codes, game cards or even gaming hardware, they can earn GameX with each trade as well. The token also allows users to present their gaming project to the GameX community in order to get it funded. Lastly, the token can be used in the GameX GPU Mining Hub.",10000000000,,,09/01/2018,,
40,CBD Crystals,CBD,CBD Crystals is a Proof of Stake cryptocurrency.,50000000,PoS,,01/01/0001,,"Yobit, Cryptopia"
41,ByteCoin,BCN,"Bytecoin (BCN) is the first currency based on the CryptoNote technology and launched back in July, 2012. BCN protects your privacy with completely untraceable and anonymous transactions so it is deservedly called the next generation anonymous cryptocurrency. It is a fully independent currency which has been developing separately from Bitcoin and its forks. The basis for the creation of Bytecoin was the CryptoNote unique technology.",184467440735,CryptoNight,PoW,05/07/2012,183688049141.91,"Cryptopia, HitBTC, Poloniex"
42,FireCoin,FIRE,Fire is a Pow/PoS cryptocurrency that uses the X15 algorithm.,,X15,PoW/PoS,28/06/2014,0.0,Yobit
43,B3 Coin,B3,"B3 Coin is a Proof of Work/Proof of Stake cryptocurrency with a 6 minute block time. B3 uses the X11 hashing algorithm, which is very popular.",,X11,PoW/PoS,26/08/2016,626047163.9199926,"Novaexchange, Cryptopia, Yobit"
44,VIVO Coin,VIVO,"VIVO is a decentralized cryptocurrency, featuring a Masternode network that provides near-instant payments and anonymous transactions. VIVO uses the NeoScrypt Proof of Work algorithm.",27000000,NeoScrypt,PoW,22/08/2017,1955845.11921045,"Cryptopia, Novaexchange"
45,Bancor Network Token,BNT,"The Bancor Protocol is a blockchain-based system for discovery and a liquidity mechanism supporting multiple smart contract platforms. The flexibility of these blockchains allows tokens to be locked in reserve and to issue smart tokens on the Bancor system, enabling anyone to instantly purchase or liquidate the smart token in exchange for any of its reserve tokens.The BNT is the first smart token on the Bancor system and it will hold a single reserve in Ether. Other smart tokens, by using BNT as one of their reserves, connect to the BNT network. The BNT establishes network dynamics where increased demand for any of the network’s smart tokens increases demand for the common BNT, benefiting all other smart tokens holding it in reserve.",79323978,,,13/02/2017,75826198.24137837,"Novaexchange, Yobit, HitBTC, LiveCoin, OKEX, Gateio, BitTrex, Binance, Liqui, Tidex, EtherDelta"
46,EdgeCoin,EDGE,EdgeCoin is a Proof of Work and HiPoS SHA-256 alternative crypto currency.,,SHA256,PoW/HiPoS,07/06/2015,,CCEX
47,Astral,AST*,Astral is a PoW/PoS X13-based cryptocurrency. It has a high yield of 100% APY in staking rewards.,37875500,X13,PoW/PoS,11/05/2015,,Yobit
48,BitGem,BTG*,"PoW scrypt and PoS like NovaCoin, but adapted to gem&#39;s character, providing semi-scarce, precious and highly valuable currency properties. Mining a block you could to get up to 3 BTGs.",1500000,Scrypt,PoW/PoS,13/05/2013,0.0,"Cryptopia, Cryptsy, Novaexchange, EtherDelta"
49,DarkBit,DB,DarkBit is a Scrypt alternative crypto currency. The coin is both proof of work and proof of stake.,0,Scrypt,PoW/PoS,18/05/2015,,"Yobit, CCEX"
50,SilkCoin,SILK,"SilkCoin (SC) is a POW POS hybrid coin that has first stage of POW and POS of 7 days, thena pure POS stage for thirty days, and then again a hybrid POW POS phase, followed by a pure POS phase in perpetuity at 2% per annum. Difficulty retargets every block and the maximum POW supply is 100 million. All fees are paid to miners to encourage the network.",1000000,Scrypt,PoW/PoS,12/06/2014,0.0,"Poloniex, Cryptsy"
51,Upfiring,UFR,Upfiring is an ERC20 token based on the Ethereum network.,,,,02/10/2017,815000000.138288,"Cryptopia, EtherDelta"
52,GoldReserve,XGR,GoldReserve is a fully gold-backed cryptocurrency. It&#39;s a PoW/PoS crytpocurrency based on the X11 algorithm.,40000000,X11,PoW/PoS,07/06/2014,17171382.0,Cryptopia
53,GiftNet,GIFT,"GiftNet is an ecosystem built on top of blockchain technology with the intent of providing a secure, anonymous marketplace in which free market economics prevail. GirftNet allows their users to encrypt their giftcard&#39;s verification code and only release the code once the desired clause has been met. GiftNet&#39;s native currency, GIFT is based on the x13 algorithm and uses a PoW protocol.",6750000,X13,PoW,24/03/2014,,Yobit
54,TileCoin,XTC,"TileCoin  / Tilepay is a crypto-token which enables access to a Decentralized Bill Payments/Investment Application (ĐApp).TileCoin`s mission is to revolutionize the Internet of Things by easily enabling monetization between people, sensors, and data utilizing micropayment channels via block chain technology.The online web marketplace for MAKERS (IoT Owners) and BUYERS (people, corporations, manufacturers, etc.) conduct all transactions with bitcoin and/or multiple currencies. Bitcoin is a cryptocurrency used around the globe as a means of eliminating the need for currency conversions and allowing for many very small transactions (also referred to as “micropayments”). Currently, there is a trend towards decentralized payments using bitcoin, that can help reduce costs associated to transferring a store of value, acquiring assets and increasing monetization of physical assets from Internet of Things (IoT) devices and/or sensors.TileCoin / Tilepay  is a free decentralized application that is downloaded to your personal computer, laptop or mobile phone.Each IoT device and/or associated sensor is an asset that is created by our decentralized application. Every device has a unique token that can accept payment for data via a marketplace.",100000000,,,29/08/2014,,"BitTrex, BTER"
55,ROS Coin,ROS,"Roscoin cryptocurrency is launched on Sep.19.2014. Powered by x11 algorithm, precisely managed by developer placebo and completely designed by logocreator.",0,X11,PoW/PoS,12/06/2014,,"Yobit, BitTrex"
56,BitLuckCoin,BTLC,BitLuckCoin is a Proof of Stake cryptocurrency that enables fast instant payments to anyone in the world with almost no fees. It runs off the popular scrypt protocol.,5000000000,PoS,PoS,05/09/2016,,CCEX
57,Network Token,NTWK,"Network Token is an Ethereum-based e-learning platform focused on providing the masses with an extensive crypto-related database of guides, tutorials, videos, and how-tos. NTWK is an ERC20 token that powers Network Token&#39;s ecosystem. It will be used for premium learning, one-on-one support, and services offered by the Network Token team including programming on the Ethereum blockchain or token creation services. ",50000000,,,01/11/2017,50000000.0,EtherDelta
58,aelf,ELF,aelf is a multi-chain parallel computing network. ELF is an Ethereum-based ERC20 token that serves as a currency on aelf&#39;s ecosystem. Token holders are also able to vote on decisions related to the project&#39;s development and governance.,1000000000,,,18/12/2017,260000000.0,"OKEX, Binance, Gateio, HuobiPro"
59,Vsync,VSX,Vsync is a privacy-focused PoS cryptocurrency based on bitcoin core 0.10.X and DASH. Using blockchain technology. Vsync aims to connect applications around the world.,,X13,PoW/PoS,29/08/2017,170399871.11517996,"CCEX, Novaexchange"
60,GoldenBird,XGB,GoldenBird is a Proof of Work/Proof of Stake cryptocurrency using the x13 algorithm.,450000000,X13,PoW/PoS,27/12/2016,0.0,"Novaexchange, CCEX"
61,GAIA Platform,GAIA,"GAIA coin offers the security and reliability of the blockchain with an Extensible, Skinnable, Modular platform design with capabilities to implement distributed markets and services.",24000000,X11,PoS,02/10/2014,,"Cryptopia, BitTrex"
62,MonacoCoin,XMCC,"MonacoCoin is a PoW/PoS cryptocurrency based on the X11 algorithm aiming to integrate cryptographic money secure in an environment of real use. MonacoCoin aims to federate a large number of Monegasque businesses and provide them with smartphone and credit card applications for end users, as well as payment terminals dedicated to Monegasque merchants. XMCC also provides a second layer network of masternodes that process instant and anonymous transactions.",9507271,X11,PoW/PoS,12/08/2017,9965003.11452102,"Cryptopia, Novaexchange"
63,Arena,ARENA,"Arena is an Ethereum-based asset that fuels the Arena portal, where speculators and eSports enthusiasts congregate and trade information.",14000000,,,01/01/0001,1.4e+25,EtherDelta
64,TribeToken,TRIBE,TribeToken is a decentralized platfrom design to bring ease and transparency to the charity industry. It uses cryptocurrency tokens to enable instant and verifiable donations. Using TribeToken users can create their own charity and donate to other charities. TRIBE is an ERC20 token on the Ethereum blockchain and is used for transactions within the TribeToken Platform. ,,,,06/07/2017,,
65,Zap,ZAP,"Zap Store is an Ethereum-based marketplace to find,list, and purchase oracles. ZAP is an ERC20 token that serves as currency on Zap&#39;s ecosystem. In order to create an oracle or make queries for data, both providers and subscribers must bond their ZAP, locking it up in an individual oracle.",520000000,,,18/10/2017,520000000.0,"Cryptopia, CCEX, EtherDelta, HitBTC"
66,Tellurion,TELL,Tellurion is a Proof of Work/Proof of Stake hybrid cryptocurrency that uses the well-known X11 hashing algorithm. It is currently in the PoS stage and it has a 60 minute block time,3652422000,X11,PoW/PoS,04/09/2016,,Yobit
67,Moeda,MDA,"MOEDA is a Cooperative Crypto Credit Banking-as-a-Service Platform designed to provide a mobile lending system. Moeda will provide a multi-purpose digital identity and opportunities to build credit-worthiness and reputation. It will also give investors real-time transparency of SDG-aligned Impact Investment, trust of cryptographically assured blockchain records and contracts while facilitating the scaling of community investments, payment transactions and service more customers online.Moeda Tokens (MDA) are backed by a social contract in loyal support of Green Cross Brazil to achieve the United Nations Sustainable Development Goals (SDGs). The tokens will be transferable once the sale has concluded.",19628888,,,17/07/2017,19628888.0,"Binance, OKEX, Gateio, EtherDelta"
68,Octocoin,888,"Octocoin is a Proof of Work cryptocurrency. It was launched on BTC Talk on Mar 08, 2014 at 18:08 (UTC) and later abandoned by it&#39;s original developer of the same name. On Nov 11, 2015 a new developer steps up and released an updated client, thus reviving Octocoin.",135776563,,PoW,08/03/2014,50786536.0,"Yobit, Cryptopia"
69,Incrementum,INC,Incrementum is a pure Proof of Stake cryptocurrency with a high staking rate of 100%. ,1300000,PoS,PoS,07/03/2016,,Yobit
70,DomRaider,DRT,"DomRaider network is an open-source blockchain dedicated to the decentralization of auctions in real time. It will be transparent, adaptable and inter-operable, without compromising on speed.Live auctioneers, escrow, appraisal experts, delivery services and online auctions providers will all be able to join the network, provide their services and add value to the blockchain.",1300000000,,,29/08/2017,1300000000.0,"Yobit, HitBTC, EtherDelta"
71,SuperCoin,SUPER,"SuperCoin (SUPER) is an X11 PoW/PoS hybrid that has a 90 second block time and a difficulty retargetting each block. The PoS block time is 20 seconds per block with a high first year annual rate of 100%, dropping to 50% in year 2, and a final 1% in year 3. The PoW payout halves the block reward every 45 days from an initial 512 SUPER, to a minimum of 1 coin per block. There are also superblocks every 3 hours of 4x the normal payout, every day of 16x the normal payout, and every five days 128x the normal payout. There was a 5% premine for IPOing the coin.",150000000,X11,PoW/PoS,12/06/2014,47976319.42160336,"CCEX, Yobit, Novaexchange, Cryptsy, BitTrex"
72,Bitcoin Gold,BTG,"Bitcoin Gold is a fork of the Bitcoin blockchain that occurred at block 491407. It implements a new PoW algorithm, Equihash, which makes it ASIC-resistant and can only be mined by GPUs rigs. The purpose of Bitcoin Gold is to make mining decentralized again following Satoshi Nakamoto&#39;s vision of ""1 CPU = 1 vote"".",21000000,Equihash,PoW,25/10/2017,16886698.58899401,"Cexio, Yobit, QuadrigaCX, OKEX, Coinone, HitBTC, BitGrail, Novaexchange, Bithumb, Binance, Bleutrade, Kucoin, BitTrex, Bitfinex, Abucoins, HuobiPro, Gateio"
73,Unobtanium,UNO,"Ultra rarity is this token&#39;s modus operandi. 1 Un per block, halving every 102,000 blocks. Only 196,875 Proof of Work UNOs will be minted before 0.0001 minimum block subsidies take effect at block 612,000. Zero coins premined. UNO&#39;s are an SHA-256 POW coin with a block target of three minutes and a hard cap to the coin supply of 250,000.",250000,SHA256,PoW,18/08/2013,198125.83151896,"Cryptopia, Bleutrade, CCEX, Cryptsy, Coinse, BitTrex, BitSquare"
74,RazorCoin,RZR,"Razor (RZR) is a scrypt based PoW alternative crypto currency. The block time is targetted to 75 seconds and the block time is 75 seconds. The block reward starts at an initial 100 RZR and halves every 10,000 blocks.",4000000,Scrypt,PoW,15/07/2014,,"BitTrex, Cryptsy, Coinse"
75,Ripio,RCN,"RCN is a global credit network based on cosigned smart contracts that connects lenders and borrowers located anywhere in the world and on any currency. The smart contracts connect agents with information on the borrower’s identity to agents that analyze the borrower’s credit risk impartially, thus standardizing credit lending through blockchain technology. A cosigner acts as a re insurer that distributes and reduces the lender’s risk and, at the same time, helps to improve the contract conditions by retaining access to the borrower’s local legal system.",1000000000,,PoW,17/10/2017,999942647.35309,"EtherDelta, BitTrex, Gateio, OKEX, Binance, HuobiPro"
76,LendConnect,LCT,"LendConnect is a lending platform that combines all lending platforms like GoldReward, Hextracoin and many other aswell as the ICOs connected to these platforms. You can lend, stake and trade LCT, an ERC20, Ethereum-based token.",6500000,,,04/12/2017,,EtherDelta
77,EtherLite,ETL,"EtherLite (ETL) is an ERC20 token based on Ethereum with a 100,000 ETL supply.",100000,,,03/10/2017,8.467707792347504e-34,"Yobit, EtherDelta"
78,DigiCoin,DGC,"Digitalcoin is an alternative open-source cryptocurrency with focus on economic fairness and growth. It uses the tagline ""A Currency for the Digital Age"". The Digitalcoin community aims to help facilitate the circulation of digital currency by bridging the gap between the common public and the new cryptocurrency technology.Blocks are hashed using Scrypt, X11 and SHA256 algorithms. The average block confirmation time for Digitalcoin takes about 40 seconds. The total supply of digitalcoins will balance out around 48,166,000 as block halvings occur.",48166000,Scrypt,PoW,18/05/2013,27922278.34403653,"Novaexchange, BitTrex, Cryptopia, BTC38, Bleutrade, BTER, Cryptsy, Coinse"
79,JustDatingSite,JDC,"JustDatingSite.com is a classical free dating site with premium services s with a fixed price in fiat currencies. These prices will vary for different countries/regions, and 100% of payments will be used to buy out Just Dating Coins (JDC). ",,,,01/01/0001,,WavesDEX
80,DarkKnightCoin,DKC,DarkKnightCoin is a Proof of Work/Proof of Stake cryptocurrency with a high APY of 999%.,24000000,Scrypt,PoW/PoS,01/01/0001,,Yobit
81,ArchCoin,ARCH,"The original ARCH whitepaper focused on the concept of controlling the flow of information within a decentralized autonomous corporation (DAC) in an effort to promote financial stability and growth within a DAC and protecting sensible information. While most cryptocurrencies are created as an alternative to bitcoin, ARCH was created as a startup holding DAC whose equity is represented by a cryptographic token. The goal is to test new applications of blockchain technology as well as to model an investor-token relationship in a use-case scenario involving a real startup with palpable products and services. To improve equity fungibility, revenue from any of the holding company&#39;s products or services is to be used to purchase more tokens from the market, thereby making the holding DAC&#39;s equity token exponentially more valuable with each additional revenue stream. Although no substantial revenue has been injected into ARCH&#39;s fungibility yet, its tiered conditional access levels have created a natural self-audit system that has proven very effective when it comes to managing this pseudo-corporate setup and its investors. Value in information is trusted to investors according to their own responsibility in the pseudo-corporate structure. In this tiered setup, the amount of tokens held serves as a basis of evaluating trust and involvement with the DAC itself. This system promotes unbiased transparency by the developers and corporate responsibility on behalf of the investors. This system alone, without any major revenue stream, has already proven itself as the backbone of the current stable growth in the ARCH equity token&#39;s market cap.This unique approach opens doors for a new generation of DACs, fusing decentralized communities with traditional corporate structures using tiered conditional access levels to secure the flow of information. Although tailored to our specific ventures and “community” needs, the ARCH wallet concept is an outstanding, first-of-its-kind example for other future DACs looking to combine all relevant information and tools regarding the DAC&#39;s and its equity token in one place. ARCH is taking that concept even further and seeks to integrate the whole corporate structure into its wallet as the DAC grows. In a nutshell, Arch rearranged how investors interacted in DACs to establish healthier lines of communication while changing the financial structure so that FIAT revenue would be injected directly into the tokens fungibility instead of being distributed through dividends.Their products, services and software are inspired by bitcoin, disruptive and innovative but not interdependent.",16403135,Scrypt,PoS,22/10/2014,0.0,"Cryptsy, Poloniex, BTER, BitTrex"
